
Distance To Nearest Neighbour
 ==================== 
Distance To Nearest Neighbour,Unit,Category,Time,TrackID,ID,
6.96917,µm,Spot,371,1000000794,842,
7.85101,µm,Spot,372,1000000806,843,
7.85101,µm,Spot,372,1000000794,844,
7.99511,µm,Spot,373,1000000806,845,
7.99511,µm,Spot,373,1000000794,846,
8.26399,µm,Spot,374,1000000806,847,
8.26399,µm,Spot,374,1000000794,848,
8.24026,µm,Spot,375,1000000806,849,
8.24026,µm,Spot,375,1000000794,850,
7.63592,µm,Spot,376,1000000806,851,
7.63592,µm,Spot,376,1000000794,852,
7.86372,µm,Spot,377,1000000806,853,
7.86372,µm,Spot,377,1000000794,854,
7.92459,µm,Spot,378,1000000806,855,
7.92459,µm,Spot,378,1000000794,856,
7.26538,µm,Spot,379,1000000806,857,
7.26538,µm,Spot,379,1000000794,858,
